STATE,ENTRSIZE,FIRM,ESTB,EMPL,PAYR,RCPT,Year
0,24,2,2,0,0,0.0,2012
0,25,11,66,6426,186168,1096523.0,2012
0,26,10,52,0,0,0.0,2012
0,1,228,242,2260,100323,980538.0,2012
0,2,89,89,192,13083,153227.0,2012
0,3,60,60,397,22749,220967.0,2012
0,4,24,24,276,11020,95351.0,2012
0,5,13,15,202,9240,88167.0,2012
0,6,186,188,1067,56092,557712.0,2012
0,7,11,11,203,9133,90295.0,2012
0,8,6,6,160,8267,79538.0,2012
0,9,4,4,130,3426,28836.0,2012
0,10,3,3,111,5277,46856.0,2012
0,11,4,6,135,4589,43876.0,2012
0,12,4,4,124,3629,36598.0,2012
0,13,1,1,0,0,0.0,2012
0,14,4,12,0,0,0.0,2012
0,17,1,1,0,0,0.0,2012
0,18,1,3,0,0,0.0,2012
0,19,225,239,2230,99069,968281.0,2012
0,20,1,1,0,0,0.0,2012
0,25,2,2,0,0,0.0,2012
0,1,2139,2193,11000,483922,3165722.0,2012
0,2,1583,1583,2272,115292,952884.0,2012
0,3,311,311,2003,85651,594512.0,2012
0,4,92,92,1058,44770,332191.0,2012
0,5,39,39,661,25033,141962.0,2012
0,6,2025,2025,5994,270746,2021549.0,2012
0,7,28,29,572,32164,144672.0,2012
0,8,20,20,533,20623,97647.0,2012
0,9,5,5,112,8196,46100.0,2012
0,10,6,6,190,7722,24499.0,2012
0,11,12,13,386,16637,73068.0,2012
0,12,16,16,832,39408,195529.0,2012
0,13,3,3,0,1167,6847.0,2012
0,14,9,22,1021,49461,330729.0,2012
0,15,2,2,0,0,0.0,2012
0,16,4,4,260,6060,39644.0,2012
0,17,2,2,0,0,0.0,2012
0,18,4,42,0,0,0.0,2012
0,19,2136,2189,10954,481929,3152694.0,2012
0,20,1,2,0,0,0.0,2012
0,25,1,1,0,0,0.0,2012
0,26,1,1,0,0,0.0,2012
0,1,330,333,1788,77270,547283.0,2012
0,2,248,248,321,17000,151930.0,2012
0,3,36,36,233,9256,73056.0,2012
0,4,11,11,132,4694,39796.0,2012
0,5,8,8,139,6248,24943.0,2012
0,6,303,303,825,37198,289725.0,2012
0,7,5,5,0,0,0.0,2012
0,8,4,4,102,3218,0.0,2012
0,9,1,1,0,0,0.0,2012
0,10,2,2,0,0,0.0,2012
0,11,2,2,0,0,0.0,2012
0,12,4,4,246,10173,51180.0,2012
0,13,3,4,0,0,0.0,2012
0,15,1,1,0,0,0.0,2012
0,16,3,3,68,5568,39591.0,2012
0,17,1,3,0,0,0.0,2012
0,19,329,332,1787,77266,547250.0,2012
0,25,1,1,0,0,0.0,2012
0,1,827,1062,39759,1326398,7811177.0,2012
0,2,305,305,489,32730,328693.0,2012
0,3,133,133,874,37478,305269.0,2012
0,4,63,64,673,34413,242624.0,2012
0,5,35,36,560,24769,187255.0,2012
0,6,536,538,2596,129390,1063841.0,2012
0,7,26,28,541,18020,112706.0,2012
0,8,14,15,371,13957,79801.0,2012
0,9,22,22,672,34719,159139.0,2012
0,10,7,7,222,4838,23945.0,2012
0,11,26,28,1041,36131,199052.0,2012
0,12,39,40,2229,81893,423728.0,2012
0,13,34,42,2564,100154,505642.0,2012
0,14,29,31,3159,72078,382283.0,2012
0,15,21,45,2415,69439,368772.0,2012
0,16,22,52,4327,123397,688716.0,2012
0,17,4,8,1048,30227,170616.0,2012
0,18,9,28,3041,93625,629122.0,2012
0,19,789,884,24226,807868,4807363.0,2012
0,20,9,39,1423,63148,372139.0,2012
0,21,2,3,0,0,0.0,2012
0,22,3,3,0,0,0.0,2012
0,23,5,21,0,0,0.0,2012
0,24,1,1,0,0,0.0,2012
0,25,9,60,6306,181638,1070295.0,2012
0,26,9,51,0,0,0.0,2012
0,1,430,436,10515,213930,759354.0,2012
0,2,269,269,317,23122,191036.0,2012
0,3,52,52,329,13152,111673.0,2012
0,4,22,22,259,9264,49060.0,2012
0,5,9,9,0,7419,26987.0,2012
0,6,352,352,1058,52957,378756.0,2012
0,7,7,7,145,4830,9495.0,2012
0,8,9,9,245,9281,31644.0,2012
0,9,6,6,191,3954,8752.0,2012
0,10,6,6,213,4236,0.0,2012
0,11,8,8,347,7832,15696.0,2012
0,12,9,13,446,8985,32496.0,2012
0,13,6,7,505,8124,21799.0,2012
0,14,9,9,0,0,0.0,2012
0,15,6,6,0,0,0.0,2012
0,16,5,5,1089,26842,40053.0,2012
0,17,4,5,1411,24835,45675.0,2012
0,18,2,2,0,0,0.0,2012
0,19,429,435,8247,190812,677093.0,2012
0,24,1,1,0,0,0.0,2012
0,1,493,513,3713,160981,645446.0,2012
0,2,355,355,485,25467,145379.0,2012
0,3,59,61,384,22945,96741.0,2012
0,4,24,24,290,10935,47094.0,2012
0,5,10,10,166,6223,17275.0,2012
0,6,448,450,1325,65570,306489.0,2012
0,7,6,6,138,4430,27581.0,2012
0,8,8,8,195,7149,23218.0,2012
0,9,6,6,0,0,0.0,2012
0,11,3,3,0,0,0.0,2012
0,12,5,10,327,11305,34517.0,2012
0,13,5,5,465,16204,47231.0,2012
0,14,2,14,0,0,0.0,2012
0,15,2,2,0,0,0.0,2012
0,16,3,3,0,0,0.0,2012
0,17,1,2,0,0,0.0,2012
0,19,489,509,3553,152022,624587.0,2012
0,21,1,1,0,0,0.0,2012
0,22,1,1,0,0,0.0,2012
0,25,2,2,0,0,0.0,2012
0,1,4254,4359,20088,617583,2519177.0,2012
0,2,3385,3386,5396,129755,666152.0,2012
0,3,537,538,3445,79928,298689.0,2012
0,4,149,150,1710,46062,168366.0,2012
0,5,40,40,664,20357,66760.0,2012
0,6,4111,4114,11215,276102,1199967.0,2012
0,7,25,25,517,15152,48350.0,2012
0,8,25,25,666,17296,46185.0,2012
0,9,9,9,271,6778,17460.0,2012
0,10,9,10,331,6550,26023.0,2012
0,11,13,13,502,16975,0.0,2012
0,12,18,21,930,25126,100266.0,2012
0,13,7,7,0,0,0.0,2012
0,14,8,8,829,34359,140201.0,2012
0,15,4,15,623,19796,79548.0,2012
0,16,5,33,735,34430,139399.0,2012
0,17,4,11,0,0,0.0,2012
0,18,2,2,0,0,0.0,2012
0,19,4240,4293,18756,539264,2199494.0,2012
0,20,1,1,0,0,0.0,2012
0,22,3,13,0,0,0.0,2012
0,25,3,3,0,0,0.0,2012
0,26,7,49,0,0,0.0,2012
0,1,4254,4359,20088,617583,2519177.0,2012
0,2,3385,3386,5396,129755,666152.0,2012
0,3,537,538,3445,79928,298689.0,2012
0,4,149,150,1710,46062,168366.0,2012
0,5,40,40,664,20357,66760.0,2012
0,6,4111,4114,11215,276102,1199967.0,2012
0,7,25,25,517,15152,48350.0,2012
0,8,25,25,666,17296,46185.0,2012
